Title,Description,Target
Before the Devil Knows You're Dead,"When two brothers organize the robbery of their parents' jewelry store the job goes horribly wrong, triggering a series of events that sends them, their father and one brother's wife barreling towards a shattering climax.",1
Jason Bourne,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.,0
The Doors,"The story of the famous and influential 1960s rock bandThe Doorsand its lead singer and composer,Jim Morrison, from his days as a UCLA film student in Los Angeles, to his untimely death in Paris, France at age 27 in 1971.",1
Le salaire de la peur,"In order to prevent a deadly explosion, an illicit crack team has 24 hours to drive two truckloads of nitroglycerine across a desert laden with danger.",0
The Babadook,"A single mother and her child fall into a deep well of paranoia when an eerie children's book titled ""Mister Babadook"" manifests in their home.",0
Stopmotion,A stop-motion animator struggles to control her demons after the loss of her overbearing mother.,0
Jungle Cruise,Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.,0
Porky's,"In 1954, a group of Florida high-school guys try to help their buddy lose his virginity, which leads them to seek revenge on a sleazy nightclub owner and his redneck sheriff brother for harassing them.",0
Wanderlust,"Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune where free love rules.",0
The Poughkeepsie Tapes,"In an abandoned house in Poughkeepsie, New York murder investigators uncover hundreds of tapes showing decades of a serial killer's work.",0
Role Models,Wild behavior forces a pair of energy drink reps to enroll in a Big Brother program.,0
Koe no katachi,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",1
Insurgent,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,0
Magic Mike,"A male stripper teaches a younger performer how to party, pick up women, and make easy money.",0
The Hitchhiker's Guide to the Galaxy,"Mere seconds before the Earth is to be demolished by an alien construction crew, journeyman Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",0
Ocean's Twelve,Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel toOcean's Eleven(2001).,0
The Man from Earth,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.,1
Justice League,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.",0
Orion and the Dark,"A boy with an active imagination faces his fears on an unforgettable journey through the night with his new friend: a giant, smiling creature named Dark.",0
Ad Astra,"Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe.",0
Maximum Overdrive,A group of people try to survive when machines start to come alive and become homicidal.,0
Captain Phillips,"The true story of CaptainRichard Phillipsand the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",1
Fast Five,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,1
Power Rangers,"When Earth is on the verge of an alien invasion, five teenagers, who are infused with superhuman abilities, must harness their newfound powers to battle this threat - as the Power Rangers.",0
Sleepy Hollow,Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people; the culprit is legendary apparition The Headless Horseman.,1
Die Another Day,"James Bond is sent to investigate the connection between a North Korean terrorist and a diamond mogul, who is funding the development of an international space weapon.",0
The Magnificent Seven,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.,1
Catching Fire: The Story of Anita Pallenberg,"This intimate documentary reveals the story of a fierce rock 'n' roller, actress, muse and mother who rose to prominence in the 1960s and 1970s.",1
The Mighty Ducks,A self-centered Minnesota lawyer is sentenced to community service coaching a rag tag youth hockey team.,0
Endless Love,"Parental disapproval of a passionate romance between two teenagers leads to arguments, circumstance, insanity and tragedy.",0
Heavenly Creatures,"Two teenage girls share a unique bond; their parents, concerned that the friendship is too intense, separate them, and the girls take revenge.",1
Teenage Mutant Ninja Turtles,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.",0
The Insider,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,1
Hot Tub Time Machine,"A malfunctioning time machine at a ski resort takes a man back to 1986 with his two friends and nephew, where they must relive a fateful night and not change anything to make sure the nephew is born.",0
